ID	E15_S89_known_profiled_metagenome	E19b_S88_known_profiled_metagenome	E28_S87_known_profiled_metagenome	E5b_S84_known_profiled_metagenome	E7_S78_known_profiled_metagenome	E8_S74_known_profiled_metagenome	R21b_S76_known_profiled_metagenome	R24_S82_known_profiled_metagenome	R5_S75_known_profiled_metagenome	R6_S81_known_profiled_metagenome	S11b_S73_known_profiled_metagenome	S11_S83_known_profiled_metagenome	S13_S79_known_profiled_metagenome	S22b_S90_known_profiled_metagenome	S22_S77_known_profiled_metagenome	S3b_S86_known_profiled_metagenome	S4_S85_known_profiled_metagenome	S9_S80_known_profiled_metagenome
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
k__Bacteria|p__Firmicutes	17.57491	17.96863	35.4376	24.59505	23.36086	30.07692	22.8134	52.28949	13.64445	9.60632	7.54818	9.93814	23.51902	5.4373	38.493	11.64397	21.96366	12.7533
k__Bacteria|p__Firmicutes|c__Bacilli	6.5637	4.00846	12.33242	3.03387	13.31346	6.56068	16.78792	40.71146	11.46063	0.5411	0.0	1.88823	21.23069	4.62871	28.96745	9.10787	19.08791	8.62514
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0	0.0349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15906	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0	0.0349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15906	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.0	0.0349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15906	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_nepalensis	0.0	0.0349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15906	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.5637	3.97357	12.33242	3.03387	13.31346	6.56068	16.78792	40.71146	11.46063	0.5411	0.0	1.88823	21.07162	4.62871	28.96745	9.10787	19.08791	8.62514
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0	0.0358	0.08072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.0358	0.08072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0.0	0.0358	0.08072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	6.5637	3.93777	12.2517	3.03387	13.31346	6.56068	16.78792	40.71146	11.46063	0.5411	0.0	1.88823	21.07162	4.62871	28.9621	9.10787	19.08791	8.62514
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	6.5637	3.93777	12.2517	3.03387	13.31346	6.56068	16.78792	40.71146	11.46063	0.5411	0.0	1.88823	21.07162	4.62871	28.9621	9.10787	19.08791	8.62514
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis	0.0	0.70326	0.0	0.30942	0.0	0.90321	4.5792	0.0	0.0	0.0	0.0	0.14162	0.58727	0.50726	2.59742	2.30301	0.0	0.12753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0.0	0.13751	4.7978	0.0	0.0	0.0	1.83978	0.0	0.0	0.0	0.0	0.0	0.0	0.26659	0.03109	0.0619	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	0.64188	0.68143	1.71941	0.03503	1.63447	3.25218	0.44478	40.71146	3.8716	0.5411	0.0	0.57207	16.055	1.60656	14.27962	0.31861	5.79328	6.45357
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	5.92181	2.41556	5.73449	2.68942	11.67898	2.40529	9.92417	0.0	7.58903	0.0	0.0	1.17453	4.42936	2.2483	12.05399	6.42435	13.29463	2.04404
k__Bacteria|p__Firmicutes|c__Clostridia	3.01498	13.65051	3.6465	17.08422	9.82956	3.18425	1.17415	10.58385	2.1606	8.76565	6.69274	6.76389	2.15483	0.62419	2.29023	2.09404	1.15024	3.90675
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.01498	13.65051	3.6465	17.08422	9.82956	3.18425	1.17415	10.58385	2.1606	8.76565	6.69274	6.76389	2.15483	0.62419	2.29023	2.09404	1.15024	3.90675
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.06826	0.02061	0.19704	0.08017	0.03467	0.00841	0.01604	0.58133	0.2734	0.47073	0.48832	0.1628	0.02945	0.01975	0.08699	0.07698	0.06511	0.10453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.06826	0.02061	0.19704	0.08017	0.03467	0.00841	0.01604	0.58133	0.2734	0.47073	0.48832	0.1628	0.02945	0.01975	0.08699	0.07698	0.06511	0.10453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF356	0.0	0.0	0.0	0.0243	0.0	0.0	0.0	0.06089	0.03058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	0.06826	0.02061	0.19704	0.05588	0.03467	0.00841	0.01604	0.52044	0.24282	0.47073	0.48832	0.1628	0.02945	0.01975	0.08699	0.07698	0.06511	0.10453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.01699	0.0	0.0	0.0	0.57547	0.0	0.0	0.05163	0.0	0.04995	1.27919	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.01699	0.0	0.0	0.0	0.57547	0.0	0.0	0.05163	0.0	0.04995	1.27919	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_plexicaudatum	0.01699	0.0	0.0	0.0	0.57547	0.0	0.0	0.05163	0.0	0.04995	1.27919	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.46701	11.97735	2.36811	12.66413	7.70981	2.22469	0.83178	3.22591	0.90263	5.15253	2.4072	4.12866	1.82485	0.37496	1.97496	1.14301	0.46454	2.62375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	0.0	0.10088	0.00171	0.0	0.00299	0.01933	0.0	0.0	0.01069	0.0	0.0196	0.0	0.0	0.0	0.0	0.0	0.0	0.00503
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	0.0	0.10088	0.00171	0.0	0.00299	0.01933	0.0	0.0	0.01069	0.0	0.0196	0.0	0.0	0.0	0.0	0.0	0.0	0.00503
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.93393	0.12903	0.09256	0.02123	0.15132	0.02667	0.04448	0.19372	0.32655	0.61089	0.13749	1.10869	0.44538	0.03406	0.02245	0.0115	0.09044	0.0664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	0.93393	0.12903	0.09256	0.02123	0.15132	0.02667	0.04448	0.19372	0.32655	0.61089	0.13749	1.10869	0.44538	0.03406	0.02245	0.0115	0.09044	0.0664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	1.53307	11.74744	2.27383	12.64291	7.5555	2.17868	0.7873	3.03219	0.56538	4.54163	2.25012	3.01997	1.37947	0.3409	1.95251	1.13151	0.3741	2.55232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_10_1	0.83627	1.19728	1.43487	0.0	3.99188	0.30417	0.12584	0.024	0.0	0.00409	0.11713	0.74198	0.0	0.0	1.12104	0.77775	0.0	0.68311
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	0.43379	0.84065	0.37408	12.00469	0.51549	0.899	0.10109	0.62333	0.0	3.82193	0.06264	1.66647	0.00705	0.00688	0.0	0.19655	0.0	0.11297
